Periodo,Fecha de Pago,Cuota,Interés,Amortización,Saldo
1,20/11/2025,1900884.07,416666.67,1484217.4,18515782.6
2,20/12/2025,1900884.07,385745.47,1515138.59,17000644.01
3,20/01/2026,1900884.07,354180.08,1546703.98,15453940.03
4,20/02/2026,1900884.07,321957.08,1578926.98,13875013.04
5,20/03/2026,1900884.07,289062.77,1611821.29,12263191.75
6,20/04/2026,1900884.07,255483.16,1645400.9,10617790.85
7,20/05/2026,1900884.07,221203.98,1679680.09,8938110.76
8,20/06/2026,1900884.07,186210.64,1714673.42,7223437.33
9,20/07/2026,1900884.07,150488.28,1750395.79,5473041.55
10,20/08/2026,1900884.07,114021.7,1786862.37,3686179.18
11,20/09/2026,1900884.07,76795.4,1824088.67,1862090.51
12,20/10/2026,1900884.07,38793.55,1862090.51,0.0
